rate,year,kind,revenue
0.01,2020,residential,66613556.36000006
0.01,2020,commercial,89040352.93
0.01,2020,unclassified,16919313.55
0.01,2021,residential,87523018.66999994
0.01,2021,commercial,131326271.32999995
0.01,2021,unclassified,27223922.32
0.01,2022,residential,104333921.81000002
0.01,2022,commercial,93893990.27
0.01,2022,unclassified,9974015.049999999
0.02,2020,residential,133227112.72000012
0.02,2020,commercial,178080705.86
0.02,2020,unclassified,33838627.1
0.02,2021,residential,175046037.33999988
0.02,2021,commercial,262652542.6599999
0.02,2021,unclassified,54447844.64
0.02,2022,residential,208667843.62000003
0.02,2022,commercial,187787980.54
0.02,2022,unclassified,19948030.099999998
0.03,2020,residential,199840669.07999974
0.03,2020,commercial,267121058.79
0.03,2020,unclassified,50757940.65
0.03,2021,residential,262569056.01000017
0.03,2021,commercial,393978813.9899999
0.03,2021,unclassified,81671766.96000001
0.03,2022,residential,313001765.4299998
0.03,2022,commercial,281681970.80999994
0.03,2022,unclassified,29922045.149999995
0.05,2020,residential,333067781.7999999
0.05,2020,commercial,445201764.65000004
0.05,2020,unclassified,84596567.75
0.05,2021,residential,437615093.3500006
0.05,2021,commercial,656631356.6499997
0.05,2021,unclassified,136119611.6
0.05,2022,residential,521669609.04999995
0.05,2022,commercial,469469951.35000014
0.05,2022,unclassified,49870075.24999999
0.1,2020,residential,666135563.5999998
0.1,2020,commercial,890403529.3000001
0.1,2020,unclassified,169193135.5
0.1,2021,residential,875230186.7000012
0.1,2021,commercial,1313262713.2999995
0.1,2021,unclassified,272239223.2
0.1,2022,residential,1043339218.0999999
0.1,2022,commercial,938939902.7000003
0.1,2022,unclassified,99740150.49999999
